List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
181,0.04033832100685686,0.057471355990855955,0.0428173710097326
182,0.057014738995349035,0.02582600899040699,0.09112483001081273
183,0.08495998800208326,0.0637783389975084,0.038664585998049006
184,0.0715672359947348,0.08051889699709136,0.03584918899287004
185,0.08332817599875852,0.06779966199246701,0.07197575300233439
186,0.044455061011831276,0.05890293000265956,0.04005443800997455
187,0.04641187400557101,0.0456060769938631,0.04597056699276436
188,0.02618014700419735,0.03618273699248675,0.05852057199808769
189,0.01463589200284332,0.014136657991912216,0.03294219900271855
190,0.016324645999702625,0.06796542699157726,0.01797237498976756
191,0.053201650007395074,0.025765138008864596,0.05993478999880608
192,0.025154761999147013,0.022714313003234565,0.02193540000007488
193,0.02874669800803531,0.07208971898944583,0.026737623004009947
194,0.05995394999627024,0.0252433270070469,0.02766777900978923
195,0.03284152699052356,0.06700141700275708,0.02745339499961119
196,0.028826738009229302,0.024425494004390202,0.032741558010457084
197,0.059879034000914544,0.017726645004586317,0.15428070300549734
198,0.0349990159884328,0.0738357329973951,0.018269249005243182
199,0.0582758050004486,0.016698995008482598,0.05919112000265159
200,0.031107386996154673,0.043977250999887474,0.03904997100471519
201,0.07204633099900093,0.0537693579972256,0.036189310005283915
202,0.030351446999702603,0.018133288001990877,0.07431141700362787
203,0.051343840998015366,0.0247885650023818,0.07885029001045041
204,0.04519308000453748,0.028376264992402866,0.02105705300346017
205,0.049178278000908904,0.0788459360046545,0.08032855999772437
206,0.019713663001311943,0.0773795400018571,0.05820294198929332
207,0.030020289006642997,0.05950761798885651,0.03098584001418203
208,0.06084124400513247,0.036171595987980254,0.05208635900635272
209,0.036593868004274555,0.07395512399671134,0.08890890299517196
210,0.09428017200843897,0.07238326699007303,0.07297523799934424
211,0.03984684799797833,0.06996886400156654,0.0707552669919096
212,0.020471804004046135,0.0719527289911639,0.02641198599303607
213,0.03905462300463114,0.08026853899355046,0.07479042900376953
214,0.028414862012141384,0.03925419499864802,0.06833193299826235
215,0.01850669899431523,0.0603917250118684,0.04123400199750904
216,0.09209113400720526,0.04128626600140706,0.03878731599252205
217,0.07362459700379986,0.0758672160009155,0.05966111000452656
218,0.028463768001529388,0.09634375300083775,0.0720139569893945
219,0.0669540779927047,0.07937762700021267,0.11137550399871543
220,0.08956657200178597,0.07348748900403734,0.045010625006398186
221,0.03705198300303891,0.07751295100024436,0.07216045800305437
222,0.028595545998541638,0.03466048199334182,0.06424373300978914
223,0.05727834100252949,0.04450632800580934,0.021600053005386144
224,0.035905582990380935,0.06344308200641535,0.027583685994613916
225,0.05004570400342345,0.07675931999983732,0.10169272999337409
226,0.04010941299202386,0.07499042499694042,0.07756910199532285
227,0.0745503939979244,0.03617331699933857,0.08591655000054743
228,0.08071557400398888,0.06685250699229073,0.0852653859910788
229,0.10294939899176825,0.23735709900211077,0.06265384500147775
230,0.14888882100058254,0.03746559499995783,0.22501916300097946
231,0.12366447898966726,0.14712974599387962,0.22315736800373998
232,0.06064305899781175,0.08822614500240888,0.07226352799625602
233,0.07928052700299304,0.03445753800042439,0.09250450500985608
234,0.14097217499511316,0.05743422500381712,0.09756411499984097
235,0.10878686500655022,0.06875448000209872,0.0826174749963684
236,0.07841934000316542,0.12156735599273816,0.0884624430036638
237,0.1362477160000708,0.0408247220038902,0.12014568700396921
238,0.16668453300371766,0.09668966500612441,0.11764623899944127
239,0.06699707100051455,0.08792711599380709,0.08465186599642038
240,0.05918522400315851,0.12053615500917658,0.16154167299100664
241,0.024139675006153993,0.04237150400876999,0.06588355000712909
242,0.07072471099672839,0.03173295600572601,0.04799654200905934
243,0.07954002299811691,0.08084370299184229,0.08772888498788234
244,0.06827462199726142,0.0742732509970665,0.04794456099625677
245,0.049564274988370016,0.08952925199992023,0.1612997830088716
246,0.1144725680060219,0.04992183799913619,0.04550730300252326
247,0.06448771301074885,0.06914077200053725,0.08212466600525659
248,0.09919525199802592,0.11767528600466903,0.16074801899958402
249,0.034516063999035396,0.04389468798763119,0.1067955320031615
250,0.07450015700305812,0.0743468699947698,0.09878459399624262
251,0.07495287100027781,0.07355800000368617,0.028809894996811636
252,0.041919059003703296,0.07303159199364018,0.10005092600476928
253,0.09120978700229898,0.08251630299491808,0.08433014899492264
254,0.08522671399987303,0.0715842929930659,0.08969567299936898
255,0.03903275199991185,0.062278274999698624,0.11371877300553024
256,0.18800448700494599,0.08646079000027385,0.07904455398966093
257,0.059918717000982724,0.039957407003385015,0.058653576008509845
258,0.03801595600089058,0.035752677998971194,0.0880667879973771
259,0.03282035799929872,0.05280831900017802,0.10171289899153635
260,0.1200215960125206,0.05027788199367933,0.05639044800773263
261,0.04884417200810276,0.09057536399632227,0.09245268200174905
262,0.0433360289898701,0.07983560299908277,0.07020214899966959
263,0.033318193003651686,0.19776774299680255,0.09262322798895184
264,0.0957009050034685,0.10338217401294969,0.08940117800375447
265,0.04715805400337558,0.06456452699785586,0.0727395069989143
266,0.07633035999606363,0.1040099459933117,0.11106543100322597
267,0.10165901599975768,0.037605270990752615,0.05332447699038312
268,0.06640168601006735,0.07846007400075905,0.08511411999643315
269,0.09799137299705762,0.07814115499786567,0.0977564019995043
270,0.17341909099195618,0.19551294199482072,0.10066681000171229
271,0.09400952700525522,0.12303021200932562,0.08610177600348834
272,0.09555152800749056,0.09607529100321699,0.13852962499368005
273,0.08138942299410701,0.08421028099837713,0.1206122119911015
274,0.06381347100250423,0.0757637660135515,0.09700085100485012
275,0.07785809200140648,0.08029234899731819,0.09938359400257468
276,0.18793013799586333,0.1667582969967043,0.09705568398931064
277,0.08851183501246851,0.09556915001303423,0.0937193580029998
278,0.09697941900230944,0.10125205101212487,0.17867848499736283
279,0.07863018498755991,0.09675393800716847,0.07457490199885797
280,0.027743009995901957,0.049417017988162115,0.10404219500196632
281,0.09767312600160949,0.09520263900049031,0.12689482800487895
282,0.2147234629956074,0.05106323299696669,0.09842099700472318
283,0.09320098499301821,0.1008667699934449,0.10062862499034964
284,0.10141406999900937,0.10215451900148764,0.03591391499503516
285,0.03876489399408456,0.09989409599802457,0.09046397199563216
286,0.08582469700195361,0.077791250005248,0.07692085599410348
287,0.028999243993894197,0.04980051900201943,0.04410312799154781
288,0.08341757098969538,0.1619758879969595,0.12896825300413184
289,0.08412610700179357,0.10333552499650978,0.09096399600093719
290,0.09440684400033206,0.1355342620081501,0.15532036099466495
291,0.09140198399836663,0.09242260799510404,0.10278966899204534
292,0.14424412499647588,0.09189703600713983,0.09833374799927697
293,0.0959418989950791,0.10029742799815722,0.12374397300300188
294,0.18790140599594451,0.10390879199258052,0.10191180599213112
295,0.09663305499998387,0.10015393600042444,0.0558012949913973
296,0.12023080101062078,0.10912450900650583,0.10087254500831477
297,0.09185803199943621,0.10423358199477661,0.20260393799981102
298,0.10067752600298263,0.07051749099628069,0.08156070399854798
299,0.07813451098627411,0.1156308410136262,0.18031330000667367
300,0.09736248801345937,0.06438046800030861,0.09276005500578322
301,0.0967196699930355,0.1521225280012004,0.152075573001639
302,0.07772645400837064,0.10670032100460958,0.1447546279960079
303,0.10091918900434393,0.11122059900662862,0.12560435199702624
304,0.08636538000428118,0.07648126200365368,0.12709134099713992
305,0.1343683390005026,0.12990272999741137,0.09138190699741244
306,0.09023713199712802,0.09370800299802795,0.16996333200950176
307,0.11122912100108806,0.10880151500168722,0.09521799899812322
308,0.09047458600252867,0.09353515900147613,0.1229189919977216
309,0.10134015200310387,0.10053321201121435,0.05238266800006386
310,0.05476292999810539,0.12300646699441131,0.18408747400098946
311,0.1064626190054696,0.10583751699596178,0.10623657000542153
312,0.17864018499676604,0.1160481270053424,0.09970770499785431
313,0.09535240799596068,0.04595850499754306,0.12881888799893204
314,0.0930262350011617,0.11208772099053022,0.15101064000918996
315,0.1025652019889094,0.09403346599719953,0.171129292997648
316,0.1092862840014277,0.09539642800518777,0.12322310300078243
317,0.1586791199952131,0.09803885799192358,0.1507599880133057
318,0.10260249901330099,0.1535535059956601,0.11438835799344815
319,0.12280281400308013,0.09590446499350946,0.048646502997144125
320,0.0638457409950206,0.12229276199650485,0.16203210099774878
321,0.17969718300446402,0.10492329399858136,0.18049137300113216
322,0.10062394700071309,0.10647948799305595,0.10608616900572088
323,0.1126932009938173,0.09620770899346098,0.14891944799455814
324,0.0953775109956041,0.11278209999727551,0.10711104600341059
325,0.1335252809949452,0.1219026879989542,0.1093751269945642
326,0.10242289199959487,0.0784431880019838,0.16969254899595398
327,0.0842854479997186,0.10668610699940473,0.17672909899556544
328,0.09223912599554751,0.10125621399492957,0.16154679500323255
329,0.10765621199971065,0.09730123900226317,0.11198907499783672
330,0.14546546401106752,0.11967024899786338,0.20067936899431515
331,0.14423667699156795,0.11601339900516905,0.13414103499962948
332,0.14957538098678924,0.10535237198928371,0.1550135709985625
333,0.10454853600822389,0.1491646960057551,0.11343217099783942
334,0.1665711430105148,0.16241089299728628,0.183075060005649
335,0.09775727499800269,0.17099879900342785,0.16920802798995283
336,0.09291762000066228,0.12680358800571412,0.16075240800273605
337,0.10153820901177824,0.15084380099142436,0.14369696399080567
338,0.08039163499779534,0.10626605599827599,0.13608169800136238
339,0.09821554500376806,0.16011761399568059,0.12234680399706122
340,0.11051168199628592,0.09866196000075433,0.11040031800803263
341,0.09236017400689889,0.09619105499587022,0.10951202899741475
342,0.08518050699785817,0.10261753799568396,0.10714930201356765
343,0.11105870500614401,0.1773952149960678,0.14397707099851687
344,0.21066955899004824,0.10598152600869071,0.14335310200112872
345,0.11531733100127894,0.13558767500217073,0.09297295499709435
346,0.12289264799619559,0.10350910299166571,0.11047719600901473
347,0.10745566000696272,0.17197267699521035,0.19315649299824145
348,0.10400226998899598,0.1709456999960821,0.19481264799833298
349,0.1393403900001431,0.12547956500202417,0.12852637800097
350,0.0948440939973807,0.07501746498746797,0.09869782600435428
351,0.10007300600409508,0.16049387700331863,0.11109868499625009
352,0.1957451390044298,0.10230699898966122,0.18607364399940707
353,0.12792388800880872,0.14373143701232038,0.09069246199214831
354,0.11827189399627969,0.16677106299903244,0.15340773700154386
355,0.15859842700592708,0.13199831900419667,0.12849478400312364
